NURSCO,NURNAME,SAMPLE,entry,CLASS,NAMET,pedigree,LOCATION,loccode,year1,year0,mmbran,mmflour,mmmids,microsd,FSDS,FSR_C,FSR_L,FSR_W,FSR_S,LDOPA,TWT,SKHRD,SKHRDSD,SKWT,SKWTSD,SKSIZE,SKSIZESD,FPROT,FASH,FYELD,MSCOR,BKFYELD,CODI,CAVOL
106,SOFT ELITE,18,54,CLUB,BRUEHL,UNA(NS1971)/5/Oasis/4/Luke//Itana/,WALLA.WALLA,ADV,2017,2016,4.9,2.79,13.6,1.3,8.4,63.9,87.4,54.4,92.1,0.632,61.9,32.01,16.3,38.6,10.9,2.61,0.4,9.4,0.37,65.8,81.3,42,9.52,
107,2ND.CHANCE.PRELIMINA,19,54,CLUB,BRUEHL,UNA(NS1971)/5/Oasis/4/Luke//Itana/,PENDLETON,ADV,2017,2016,4.9,2.79,13.6,1.3,8.1,67,72.9,54.2,88.7,0.646,60.6,27.13,14.5,40.5,8.98,2.72,0.32,6.8,0.42,71.9,85.9,45.7,9.77,
95,SOFT ELITE,59,67,CLUB,BRUEHL,UNA(NS1971)/5/Oasis/4/Luke//Itana/,PENDLETON,ADV,2018,2017,3.79,4.55,11,1.6,5.8,58.5,66.9,48.6,91.4,0.821,61.3,34.56,13.9,38.1,10.3,2.62,0.38,8.6,0.4,70.1,84.9,47.6,9.24,1275
97,RHT1 UNREPLICATED,114,67,CLUB,BRUEHL,UNA(NS1971)/5/Oasis/4/Luke//Itana/,PULLMAN,ADV,2018,2017,3.88,3.82,11,1.5,9.6,59.9,114.1,49.9,108.5,0.716,55.7,22.58,18.9,29.4,9.97,2.32,0.37,11.6,0.54,67.9,73.2,48.8,9.16,
98,RHT2 UNREPLICATED,24,67,CLUB,BRUEHL,UNA(NS1971)/5/Oasis/4/Luke//Itana/,PULLMAN,ADV,2018,2017,3.88,3.82,11,1.5,8.4,67.3,108.3,53.5,77.5,0.785,55.4,19.76,16.8,30.2,10.7,2.32,0.39,11,0.46,67,77.1,48.1,9.25,
92,SOFT ELITE,4,49,CLUB,CASTELLA,NY89066-7131/B980696//CHUKAR,FARMINGTON,PUL,2016,2015,4.88,4.34,12.2,,7.6,,,50.6,,,61.1,31.2,18.5,29.9,7.4,2.5,0.3,10,0.29,69.6,91.3,46.8,9.35,1325
104,SOFT ELITE,13,35,CLUB,CASTELLA,NY89066-7131/B980696//CHUKAR,PENDLETON,ADV,2017,2016,4.73,2.72,13,1.5,7,62.4,78.7,52,84.2,1.003,62.7,23.99,14,39,10.3,2.72,0.35,8.9,0.35,68.4,85.9,44.5,9.74,
95,SOFT ELITE,4,4,CLUB,CASTELLA,NY89066-7131/B980696//CHUKAR,PENDLETON,ADV,2018,2017,3.33,4.48,10.2,1.7,7,78,101.6,46.7,105.7,1.061,64.5,44.19,16.8,34.9,9.46,2.61,0.35,9.4,0.35,70.7,88.9,51,9.76,1235
95,CLUB WHEAT SAMPLES T,8,59,CLUB,CASTELLA,NY89066-7131/B980696//CHUKAR,PULLMAN,ADV,2019,2018,3.59,7.99,10.5,-9,5.3,64.8,75.9,52.6,70.4,,64.4,28.66,15,40.1,7.94,2.74,0.34,8.9,0.37,70.7,87.6,53.4,9.49,1215
111,SOFT ELITE,59,59,CLUB,CASTELLA,NY89066-7131/B980696//CHUKAR,PENDLETON,ADV,2019,2018,3.59,7.99,10.5,-9,7,,,51.8,,1.324,63.8,23.31,17.6,38.9,11.1,2.62,0.4,9.6,0.42,72.9,87.2,54.5,9.09,1235
